Radio Inferior,Ángulo de corte,Radio de Separación de hojas,Ángulo de inclinación,Torsión,Velocidad caracteristica,Velocidad de despertar
10,25,4,106,45,0.899285697,3.96
10,25,4,134,15,0.932630335,5.17
10,24,11,114,15,0.917260178,2.77
10,24,11,136,45,0.797102985,3.13
10,34,4,69,15,0.903796906,4.13
10,34,4,121,45,0.766167149,4.67
10,34,11,89,45,0.67522385,3.27
10,34,11,128,15,0.535063223,4.13
20,62,4,136,15,1.015851674,3.03
20,62,4,144,45,1.035136544,3.23
20,47,11,135,45,0.983787835,2.43
20,47,11,143,15,1.076798123,2.57
20,70,4,120,45,1.079073413,2.7
20,70,4,138,15,0.985365545,2.87
20,65,11,119,15,0.982808272,2.43
20,65,11,138,45,0.95816591,2.87
6,21,8,98,30,0.694174468,4.9
25,68,13,146,30,0.864223779,2.67
15,28,8,147,30,1.03518402,2.87
15,75,8,95,30,0.748291662,3.53
15,57,2,95,30,1.017972037,4.17
15,47,15,122,30,0.662940038,4.07
15,51,8,74,30,0.881404375,3.07
15,51,8,148,30,0.857821441,3.57
15,51,8,111,0,0.886145933,2.77
15,51,8,111,60,0.862498794,2.7
15,51,8,111,30,0.919355544,2.8
10,24,11,136,0,0.903596597,3.07
13,52,4,73,60,0.848392059,3.97
17,34,13,147,19,0.923750444,2.63
13,48,2,70,6,0.996337887,4.63
8,30,7,52,41,0.557483702,4.9
17,46,11,117,33,0.963593061,2.47
